track,artist,key,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms,year,weeks-on-board,charted
Eli-Eli,Z.C.C.,C#/Db,0.435270132517839,0.3988551240849045,0.8620654962523265,0.033676622039134914,0.8744979919678715,0.43105209397344224,0.4721377912867275,0.504327716010959,0.026275409007092507,2017.0,0,False
Break Up In A Small Town,Sam Hunt,G#/Ab,0.5902140672782874,0.7759460029867199,0.8773412478830256,0.17816683831101957,0.0752008032128514,0.2441266598569969,0.4397163120567376,0.6181205217794297,0.043972993226906745,2016.0,20,True
I don't need to dream (of a White Christmas),XnXRawkXnX,G#/Ab,0.254841997961264,0.16579895754876928,0.6081962540033872,0.039031925849639555,0.9919678714859438,0.11338100102145045,0.10638297872340426,0.4225668240243897,0.04003856751713088,2021.0,0,False
Can't Hold Us Down,Axwell /\ Ingrosso,C,0.5341488277268094,0.6919257541067398,0.8486677733621745,0.08290422245108137,0.016666666666666666,0.18794688457609804,0.0380952380952381,0.5679326466539145,0.0734152027826313,2017.0,0,False
Portland,Drake Featuring Quavo & Travis Scott,C#/Db,0.9429153924566769,0.44286573064108453,0.8295353555678522,0.2718846549948507,0.017269076305220885,0.2819203268641471,0.3546099290780142,0.6182750019310019,0.045307519675100764,2017.0,16,True
Baller sie weg,Azet,A#/Bb,0.8634046890927624,0.826958296949565,0.8895652028103358,0.07971163748712667,0.09407630522088355,0.0954034729315628,0.6646403242147922,0.5632073714293503,0.026875401001915298,2020.0,0,False
GO (feat. Juice WRLD),The Kid LAROI,F#/Gb,0.49643221202854226,0.7399373248952998,0.88391434847494,0.09721936148300721,0.15763052208835343,0.6251276813074566,0.5288753799392097,0.3352173853779993,0.03442384718513002,2020.0,17,True
Ana Öyle Zorki,Uygar Doğanay,F#/Gb,0.5871559633027523,0.7429380480695849,0.8472089474654996,0.03717816683831102,0.46787148594377514,0.24106230847803878,0.6464032421479231,0.6357721508634987,0.0549044193730044,2019.0,0,False
Das Leichteste der Welt - MZRT Remix,Silbermond,C,0.7094801223241589,0.7049288878619748,0.8823046095544712,0.043460350154479924,0.23393574297188757,0.3912155260469867,0.3870314083080041,0.44526177570390696,0.041687752911090614,2016.0,0,False
Schlaf cd für kinder,Schlaf Baby Schlaf Buch,D#/Eb,0.09938837920489296,0.1037840119468792,0.6230863390177239,0.04253347064881566,0.9467871485943775,0.07967313585291112,0.035866261398176294,0.40297056244405777,0.04459121483319707,2018.0,0,False
Der Zauberer - Track 31,Audio Media Digital Hörbücher,C,0.7145769622833842,0.33684017848301445,0.7055854586917517,0.9588053553038106,0.7058232931726908,0.21552604698672112,0.8247213779128674,0.4714734225986288,0.02333291193869144,2021.0,0,False
Changanya,Sho Madjozi,F#/Gb,0.7930682976554536,0.88797300149336,0.8694266981907205,0.042224510813594233,0.0025100401606425703,0.06731358529111338,0.8328267477203649,0.5724625499220785,0.051072039857856584,2018.0,0,False
